dataset,mixture_1,mixture_2,experimental_values,a,b,num_compound_a,num_compound_b,diff_mixture_size,overlap_percent,angle_dist
Snitz 1,35,29,0.62980769,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,40,30,10,0,0.018203568
Snitz 1,35,30,0.51442308,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,40,40,0,0,0.020039376
Snitz 1,35,31,0.65384615,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,5281168;10890;2879;7966,40,4,36,0,0.081073974
Snitz 1,36,26,0.76923077,62433;7363;443158;61138,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,4,10,6,0,0.047016799
Snitz 1,36,27,0.65384615,62433;7363;443158;61138,7714,4,1,3,0,0.095994994
Snitz 1,36,28,0.71634615,62433;7363;443158;61138,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,4,20,16,0,0.053320223
Snitz 1,36,29,0.80769231,62433;7363;443158;61138,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,4,30,26,0,0.060203952
Snitz 1,36,30,0.76442308,62433;7363;443158;61138,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,4,40,36,0,0.061408759
Snitz 1,36,31,0.82692308,62433;7363;443158;61138,5281168;10890;2879;7966,4,4,0,0,0.038969525
Snitz 1,37,38,0.52272727,14286;7600;3314;16666;91497;18827;7991;7770;6989;5634,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,10,15,5,0,0.061253089
Snitz 1,37,39,0.625,14286;7600;3314;16666;91497;18827;7991;7770;6989;5634,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,10,20,10,0,0.06981449
Snitz 1,37,40,0.64204545,14286;7600;3314;16666;91497;18827;7991;7770;6989;5634,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,10,30,20,0,0.053993429
Snitz 1,37,41,0.625,14286;7600;3314;16666;91497;18827;7991;7770;6989;5634,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,10,43,33,0,0.06269611
Snitz 1,42,39,0.52840909,7410;7710;7600;62433;307;7749;3314;61016;16666;91497;6054;6654;8030;5634;10430,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,15,20,5,0,0.05980493
Snitz 1,42,40,0.53977273,7410;7710;7600;62433;307;7749;3314;61016;16666;91497;6054;6654;8030;5634;10430,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,15,30,15,0,0.043827155
Snitz 1,42,41,0.47159091,7410;7710;7600;62433;307;7749;3314;61016;16666;91497;6054;6654;8030;5634;10430,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,15,43,28,0,0.052400809
Snitz 1,43,38,0.66477273,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,20,15,5,0,0.040397613
Snitz 1,43,39,0.64204545,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,20,20,0,0,0.047611447
Snitz 1,43,40,0.65340909,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,20,30,10,0,0.032796107
Snitz 1,43,41,0.64772727,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,20,43,23,0,0.041637866
Snitz 1,43,44,0.65909091,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,6501;8797;326;26331;8129;12178;999;6544;6736;11552,20,10,10,0,0.035991865
Snitz 1,43,45,0.84090909,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,7685,20,1,19,0,0.053751415
Snitz 1,43,46,0.6875,7410;14286;7710;7600;62433;5281515;6982;22201;7749;3314;8130;8103;7888;16666;91497;6654;7770;5634;10430;7921,6501;460;999;6544,20,4,16,0,0.048591709
Snitz 1,47,38,0.39204545,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,30,15,15,0,0.036208013
Snitz 1,47,39,0.5625,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,30,20,10,0,0.04348968
Snitz 1,47,40,0.48863636,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,30,30,0,0,0.027358222
Snitz 1,47,41,0.53409091,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,30,43,13,0,0.035406047
Snitz 1,47,44,0.66477273,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,6501;8797;326;26331;8129;12178;999;6544;6736;11552,30,10,20,0,0.029759107
Snitz 1,47,45,0.78977273,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,7685,30,1,29,0,0.049922389
Snitz 1,47,46,0.61931818,7410;7710;7600;62433;5281515;6982;307;7632;22201;31252;19310;7749;3314;6184;7888;61016;16666;7119;91497;18827;7991;6054;6654;7770;8118;8030;6989;7714;5634;10430,6501;460;999;6544,30,4,26,0,0.046386944
Snitz 1,48,38,0.41477273,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,43,15,28,0,0.036431362
Snitz 1,48,39,0.44318182,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,43,20,23,0,0.04061126
Snitz 1,48,40,0.34659091,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,43,30,13,0,0.024734656
Snitz 1,48,41,0.52272727,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,43,43,0,0,0.032150923
Snitz 1,48,44,0.67613636,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,6501;8797;326;26331;8129;12178;999;6544;6736;11552,43,10,33,0,0.023810816
Snitz 1,48,45,0.75568182,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,7685,43,1,42,0,0.052632351
Snitz 1,48,46,0.52840909,7410;14286;7710;7600;62433;5281515;6982;307;323;8148;7632;22201;31252;19310;7749;2758;3314;7363;8130;6184;8103;62336;7888;798;61016;16666;7119;8635;7059;91497;18827;7991;6054;6654;7770;8118;8030;6989;1140;7714;5634;10430;7921,6501;460;999;6544,43,4,39,0,0.042284504
Snitz 1,49,38,0.45454545,7600;62433;7991;6989,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,4,15,11,0,0.035654903
Snitz 1,49,39,0.61931818,7600;62433;7991;6989,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,4,20,16,0,0.05041641
Snitz 1,49,40,0.64772727,7600;62433;7991;6989,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,4,30,26,0,0.038260196
Snitz 1,49,41,0.59090909,7600;62433;7991;6989,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,4,43,39,0,0.040415413
Snitz 1,49,44,0.35227273,7600;62433;7991;6989,6501;8797;326;26331;8129;12178;999;6544;6736;11552,4,10,6,0,0.048248031
Snitz 1,49,45,0.67613636,7600;62433;7991;6989,7685,4,1,3,0,0.054918201
Snitz 1,49,46,0.60227273,7600;62433;7991;6989,6501;460;999;6544,4,4,0,0,0.077827865
Snitz 2,1,2,0.571079232,326;26331;6544;1140,7710;62433;7519;7685;3314,4,5,1,0,0.080141711
Snitz 2,1,3,0.617074811,326;26331;6544;1140,31276;62433;7519;8129;12178;18827;10722,4,7,3,0,0.098522289
Snitz 2,1,4,0.417794564,326;26331;6544;1140,62433;8797;2758;3314;8635;61138;6054;6544;10722,4,9,5,8.333333333,0.056200074
Snitz 2,1,5,0.365823651,326;26331;6544;1140,7410;240;93009;8635,4,4,0,0,0.058661984
Snitz 2,1,6,0.554831352,326;26331;6544;1140,7519;8148;31252;8103;5281168;6544,4,6,2,11.11111111,0.085280913
Snitz 2,1,8,0.640420003,326;26331;6544;1140,31276;8148;7762;18827;7714,4,5,1,0,0.105411891
Snitz 2,1,9,0.531256662,326;26331;6544;1140,7710;93009;8130;81035281168;7059;8918;7714,4,7,3,0,0.080727104
Snitz 2,1,10,0.629883689,326;26331;6544;1140,11002307;7685;12178;4133;7991;6054;7770;7714,4,8,4,0,0.074097882
Snitz 2,1,12,0.461249656,326;26331;6544;1140,7410;326;2758;62444;7770;1140,4,6,2,25,0.02558539
Snitz 2,2,3,0.521107479,7710;62433;7519;7685;3314,31276;62433;7519;8129;12178;18827;10722,5,7,2,20,0.079802147
Snitz 2,2,4,0.389479171,7710;62433;7519;7685;3314,62433;8797;2758;3314;8635;61138;6054;6544;10722,5,9,4,16.66666667,0.038666862
Snitz 2,2,5,0.431679374,7710;62433;7519;7685;3314,7410;240;93009;8635,5,4,1,0,0.068250843
Snitz 2,2,6,0.688897466,7710;62433;7519;7685;3314,7519;8148;31252;8103;5281168;6544,5,6,1,10,0.088313302
Snitz 2,2,7,0.434875161,7710;62433;7519;7685;3314,240;307;7731;2758;12178;62336;8635,5,7,2,0,0.042425281
Snitz 2,2,9,0.435297988,7710;62433;7519;7685;3314,7710;93009;8130;81035281168;7059;8918;7714,5,7,2,9.090909091,0.018019792
Snitz 2,2,10,0.409498442,7710;62433;7519;7685;3314,11002307;7685;12178;4133;7991;6054;7770;7714,5,8,3,8.333333333,0.028129489
Snitz 2,2,14,0.353717605,7710;62433;7519;7685;3314,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,5,10,5,7.142857143,0.038462655
Snitz 2,3,4,0.448164066,31276;62433;7519;8129;12178;18827;10722,62433;8797;2758;3314;8635;61138;6054;6544;10722,7,9,2,14.28571429,0.090553223
Snitz 2,3,10,0.55311862,31276;62433;7519;8129;12178;18827;10722,11002307;7685;12178;4133;7991;6054;7770;7714,7,8,1,7.142857143,0.058279556
Snitz 2,3,11,0.496331653,31276;62433;7519;8129;12178;18827;10722,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7,10,3,6.25,0.056762018
Snitz 2,3,12,0.706568159,31276;62433;7519;8129;12178;18827;10722,7410;326;2758;62444;7770;1140,7,6,1,0,0.083539207
Snitz 2,3,13,0.581259278,31276;62433;7519;8129;12178;18827;10722,7410;7519;11002;8797;81295281168;6654;8030,7,7,0,7.692307692,0.084898839
Snitz 2,3,14,0.516065325,31276;62433;7519;8129;12178;18827;10722,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,7,10,3,0,0.086031181
Snitz 2,4,5,0.289236253,62433;8797;2758;3314;8635;61138;6054;6544;10722,7410;240;93009;8635,9,4,5,8.333333333,0.044407932
Snitz 2,4,8,0.483749082,62433;8797;2758;3314;8635;61138;6054;6544;10722,31276;8148;7762;18827;7714,9,5,4,0,0.094611917
Snitz 2,4,11,0.573445625,62433;8797;2758;3314;8635;61138;6054;6544;10722,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,9,10,1,5.555555556,0.040821728
Snitz 2,4,13,0.622244157,62433;8797;2758;3314;8635;61138;6054;6544;10722,7410;7519;11002;8797;81295281168;6654;8030,9,7,2,6.666666667,0.037884927
Snitz 2,4,14,0.369436836,62433;8797;2758;3314;8635;61138;6054;6544;10722,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,9,10,1,35.71428571,0.014602473
Snitz 2,5,3,0.403165774,7410;240;93009;8635,31276;62433;7519;8129;12178;18827;10722,4,7,3,0,0.118675802
Snitz 2,5,6,0.702678919,7410;240;93009;8635,7519;8148;31252;8103;5281168;6544,4,6,2,0,0.118013182
Snitz 2,5,7,0.377680188,7410;240;93009;8635,240;307;7731;2758;12178;62336;8635,4,7,3,22.22222222,0.037118669
Snitz 2,5,8,0.523572917,7410;240;93009;8635,31276;8148;7762;18827;7714,4,5,1,0,0.124960996
Snitz 2,5,10,0.524793971,7410;240;93009;8635,11002307;7685;12178;4133;7991;6054;7770;7714,4,8,4,0,0.073379342
Snitz 2,5,11,0.444452165,7410;240;93009;8635,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,4,10,6,7.692307692,0.069353739
Snitz 2,5,13,0.623722766,7410;240;93009;8635,7410;7519;11002;8797;81295281168;6654;8030,4,7,3,10,0.045492076
Snitz 2,5,14,0.434726288,7410;240;93009;8635,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,4,10,6,0,0.052237709
Snitz 2,6,3,0.648905326,7519;8148;31252;8103;5281168;6544,31276;62433;7519;8129;12178;18827;10722,6,7,1,8.333333333,0.032165258
Snitz 2,6,4,0.718496654,7519;8148;31252;8103;5281168;6544,62433;8797;2758;3314;8635;61138;6054;6544;10722,6,9,3,7.142857143,0.091973478
Snitz 2,6,7,0.728967095,7519;8148;31252;8103;5281168;6544,240;307;7731;2758;12178;62336;8635,6,7,1,0,0.098504136
Snitz 2,6,9,0.722060567,7519;8148;31252;8103;5281168;6544,7710;93009;8130;81035281168;7059;8918;7714,6,7,1,0,0.09944633
Snitz 2,6,10,0.715333919,7519;8148;31252;8103;5281168;6544,11002307;7685;12178;4133;7991;6054;7770;7714,6,8,2,0,0.067121162
Snitz 2,6,11,0.62178788,7519;8148;31252;8103;5281168;6544,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,6,10,4,6.666666667,0.061847376
Snitz 2,7,1,0.641323935,240;307;7731;2758;12178;62336;8635,326;26331;6544;1140,7,4,3,0,0.057452769
Snitz 2,7,3,0.464489509,240;307;7731;2758;12178;62336;8635,31276;62433;7519;8129;12178;18827;10722,7,7,0,7.692307692,0.097395232
Snitz 2,7,4,0.385388532,240;307;7731;2758;12178;62336;8635,62433;8797;2758;3314;8635;61138;6054;6544;10722,7,9,2,14.28571429,0.012538433
Snitz 2,7,8,0.611684523,240;307;7731;2758;12178;62336;8635,31276;8148;7762;18827;7714,7,5,2,0,0.101484465
Snitz 2,7,9,0.41743823,240;307;7731;2758;12178;62336;8635,7710;93009;8130;81035281168;7059;8918;7714,7,7,0,0,0.038245322
Snitz 2,7,10,0.499030847,240;307;7731;2758;12178;62336;8635,11002307;7685;12178;4133;7991;6054;7770;7714,7,8,1,7.142857143,0.045435599
Snitz 2,7,11,0.344029083,240;307;7731;2758;12178;62336;8635,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7,10,3,13.33333333,0.044951424
Snitz 2,7,13,0.560994228,240;307;7731;2758;12178;62336;8635,7410;7519;11002;8797;81295281168;6654;8030,7,7,0,0,0.037435151
Snitz 2,8,2,0.548093475,31276;8148;7762;18827;7714,7710;62433;7519;7685;3314,5,5,0,0,0.078610183
Snitz 2,8,3,0.493943735,31276;8148;7762;18827;7714,31276;62433;7519;8129;12178;18827;10722,5,7,2,20,0.02626701
Snitz 2,8,6,0.699666352,31276;8148;7762;18827;7714,7519;8148;31252;8103;5281168;6544,5,6,1,10,0.043615739
Snitz 2,8,9,0.441539564,31276;8148;7762;18827;7714,7710;93009;8130;81035281168;7059;8918;7714,5,7,2,9.090909091,0.089739041
Snitz 2,8,10,0.537752536,31276;8148;7762;18827;7714,11002307;7685;12178;4133;7991;6054;7770;7714,5,8,3,8.333333333,0.061553686
Snitz 2,8,12,0.75005623,31276;8148;7762;18827;7714,7410;326;2758;62444;7770;1140,5,6,1,0,0.089987409
Snitz 2,8,13,0.766438661,31276;8148;7762;18827;7714,7410;7519;11002;8797;81295281168;6654;8030,5,7,2,0,0.094171196
Snitz 2,8,14,0.61790083,31276;8148;7762;18827;7714,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,5,10,5,0,0.090608424
Snitz 2,9,3,0.508135923,7710;93009;8130;81035281168;7059;8918;7714,31276;62433;7519;8129;12178;18827;10722,7,7,0,0,0.091338523
Snitz 2,9,4,0.414009564,7710;93009;8130;81035281168;7059;8918;7714,62433;8797;2758;3314;8635;61138;6054;6544;10722,7,9,2,0,0.038360109
Snitz 2,9,5,0.381566352,7710;93009;8130;81035281168;7059;8918;7714,7410;240;93009;8635,7,4,3,10,0.059611571
Snitz 2,9,11,0.309007512,7710;93009;8130;81035281168;7059;8918;7714,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7,10,3,21.42857143,0.039551149
Snitz 2,9,12,0.699182921,7710;93009;8130;81035281168;7059;8918;7714,7410;326;2758;62444;7770;1140,7,6,1,0,0.069060297
Snitz 2,9,13,0.582958927,7710;93009;8130;81035281168;7059;8918;7714,7410;7519;11002;8797;81295281168;6654;8030,7,7,0,0,0.056265117
Snitz 2,9,14,0.455659939,7710;93009;8130;81035281168;7059;8918;7714,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,7,10,3,6.25,0.041046617
Snitz 2,10,4,0.399586021,11002307;7685;12178;4133;7991;6054;7770;7714,62433;8797;2758;3314;8635;61138;6054;6544;10722,8,9,1,6.25,0.038395789
Snitz 2,10,9,0.483212535,11002307;7685;12178;4133;7991;6054;7770;7714,7710;93009;8130;81035281168;7059;8918;7714,8,7,1,7.142857143,0.039461904
Snitz 2,10,11,0.540210832,11002307;7685;12178;4133;7991;6054;7770;7714,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,8,10,2,5.882352941,0.019569389
Snitz 2,11,1,0.379850967,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,326;26331;6544;1140,10,4,6,0,0.065257254
Snitz 2,11,2,0.478150495,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7710;62433;7519;7685;3314,10,5,5,0,0.033051275
Snitz 2,11,8,0.519923765,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,31276;8148;7762;18827;7714,10,5,5,0,0.059662632
Snitz 2,11,12,0.652060266,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7410;326;2758;62444;7770;1140,10,6,4,6.666666667,0.049016882
Snitz 2,11,13,0.4955536,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,7410;7519;11002;8797;81295281168;6654;8030,10,7,3,6.25,0.043370386
Snitz 2,12,2,0.671511581,7410;326;2758;62444;7770;1140,7710;62433;7519;7685;3314,6,5,1,0,0.068722603
Snitz 2,12,4,0.724689658,7410;326;2758;62444;7770;1140,62433;8797;2758;3314;8635;61138;6054;6544;10722,6,9,3,7.142857143,0.046726252
Snitz 2,12,5,0.707735537,7410;326;2758;62444;7770;1140,7410;240;93009;8635,6,4,2,11.11111111,0.055091193
Snitz 2,12,6,0.640651637,7410;326;2758;62444;7770;1140,7519;8148;31252;8103;5281168;6544,6,6,0,0,0.074958774
Snitz 2,12,7,0.661498482,7410;326;2758;62444;7770;1140,240;307;7731;2758;12178;62336;8635,6,7,1,8.333333333,0.048838102
Snitz 2,12,10,0.62904294,7410;326;2758;62444;7770;1140,11002307;7685;12178;4133;7991;6054;7770;7714,6,8,2,7.692307692,0.059276752
Snitz 2,12,13,0.633933962,7410;326;2758;62444;7770;1140,7410;7519;11002;8797;81295281168;6654;8030,6,7,1,8.333333333,0.038380348
Snitz 2,12,14,0.608783615,7410;326;2758;62444;7770;1140,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,6,10,4,0,0.047593054
Snitz 2,13,1,0.549520134,7410;7519;11002;8797;81295281168;6654;8030,326;26331;6544;1140,7,4,3,0,0.043743199
Snitz 2,13,2,0.566943825,7410;7519;11002;8797;81295281168;6654;8030,7710;62433;7519;7685;3314,7,5,2,9.090909091,0.054910021
Snitz 2,13,6,0.599266027,7410;7519;11002;8797;81295281168;6654;8030,7519;8148;31252;8103;5281168;6544,7,6,1,8.333333333,0.079317767
Snitz 2,13,10,0.609489573,7410;7519;11002;8797;81295281168;6654;8030,11002307;7685;12178;4133;7991;6054;7770;7714,7,8,1,0,0.049730685
Snitz 2,14,1,0.65665315,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,326;26331;6544;1140,10,4,6,7.692307692,0.054250441
Snitz 2,14,6,0.663165187,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,7519;8148;31252;8103;5281168;6544,10,6,4,6.666666667,0.085116175
Snitz 2,14,7,0.33198546,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,240;307;7731;2758;12178;62336;8635,10,7,3,13.33333333,0.020261322
Snitz 2,14,10,0.347093793,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,11002307;7685;12178;4133;7991;6054;7770;7714,10,8,2,12.5,0.035747919
Snitz 2,14,11,0.374876806,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,240;2758;8130;8129;5281168;7059;4133;8918;957;6654,10,10,0,5.263157895,0.037515274
Snitz 2,14,13,0.595095117,8797;7731;7966;3314;62336;7059;7991;61138;6054;6544,7410;7519;11002;8797;81295281168;6654;8030,10,7,3,6.25,0.034864786
Ravia,1,11,0.75,7799;176;7363;14286;8025;6561;11552;12020;22386;9609;84682;8063;8857;7895;7284;11173;8103;637566;638011;10890;24915;3314;8842;10430,7799;1068;6590;31244;176;180;7150;61138;8025;6561;443158;22386;62336;527;9609;1032;6569;84682;6276;10448;8857;7895;11173;5284503;5318042;8103;637566;638011;637776;10890,24,30,6,35,0.015552907
Ravia,2,12,0.5893,7799;6590;61138;11552;62336;9609;6276;7895;7284;261;5284503;637566;31266;10430,1068;6590;31244;1031;176;180;3776;7363;7150;7793;12020;6584;1032;6569;8857;637566;10430,14,17,3,10.71428571,0.042743465
Ravia,3,13,0.5,7799;7150;14286;264;11552;62336;263;9609;7895;261;8103;8842;10430,7799;1031;176;180;14286;8025;6561;7793;264;11552;12020;22386;263;6584;84682;8063;5284503;5318042;8103;3314;10430,13,21,8,25.92592593,0.042670526
Ravia,4,14,0.5,7799;1068;3776;61138;7793;264;527;263;84682;10448;7284;11173;5318042;637566;638011;10890;24915,7799;6590;31244;1031;180;3776;7363;7150;14286;61138;19310;443158;264;12020;22386;62336;527;263;6584;1032;84682;6276;7895;7284;5284503;638011;637776;24915;31266,17,29,12,27.77777778,0.038427123
